source,target
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*]
fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a *,[*] (purr|puurr|meow|roar|mew) [*]
fuzzybot do save location *,(great|cool|awesome|ok|okay)
fuzzybot do lang en wildcard{weight=1},fuzzybot do daily update 1
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do weather error *{weight=100}
[*] [current] location,fuzzybot do is a *
* (live|reside|sleep) [at|in|near|on] *,fuzzybot do is a *
fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*],fuzzybot do onboarding complete *
[*] where [are] you [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a *,(great|cool|awesome|ok|okay)
*,[*] do you (like|love) me [*]
*,[*] (@badwordsinsults) [*]
(@no),(@sureyes)
fuzzybot do is a *,fuzzybot do is a [*] @naughty [*]
fuzzybot do notification change and *,fuzzybot do weather error *{weight=100}
fuzzybot do is a [*] @yes [*],(great|cool|awesome|ok|okay)
fuzzybot do is a *,*{weight=100}
fuzzybot do first message,[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do lang en wildcard{weight=1},*{weight=100}
fuzzybot do onboarding ask user location,fuzzybot do daily update 2 continue
(great|cool|awesome|ok|okay),fuzzybot do onboarding complete *
fuzzybot do first message,fuzzybot do daily update 2 continue
* (live|reside|sleep) [at|in|near|on] *,fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @sure [*],(great|cool|awesome|ok|okay)
fuzzybot do daily update 2 continue,fuzzybot do daily update 1
fuzzybot do is a [*] @no [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @no [*],fuzzybot do onboarding complete *
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do weather error *{weight=100}
fuzzybot do daily update 2 continue,fuzzybot do onboarding complete *
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @sure [*],fuzzybot do onboarding ask user location
fuzzybot do condition error [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do first message,fuzzybot do daily update 1
fuzzybot do is a [*] @no [*],fuzzybot do onboarding ask user location
fuzzybot do save location *,[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
fuzzybot do onboarding ask user location,fuzzybot do daily update 1
[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5},[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do is a *,(@no)
fuzzybot do is a *,[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
fuzzybot do save location *,[*] (@goodbye) [*]{weight=1}
[*] (@goodbye) [*]{weight=1},[*] weathercat [*]
[*] (@goodbye) [*]{weight=1},fuzzybot do lang en wildcard{weight=1}
[*] (@hello) [*],fuzzybot do hunger topic
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do onboarding complete *
fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do lang en wildcard{weight=1},[*] weathercat [*]
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*]
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
[*] (@badwordsinsults) [*],fuzzybot do weather error *{weight=100}
[*] (@badwordsinsults) [*],fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a *,[@todayterms] (weather|temp|temperature) [@todayterms]{weight=5}
fuzzybot do first message,[*] (@goodbye) [*]{weight=1}
fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*],fuzzybot do notification change and *
fuzzybot do save location *,(what|really)
fuzzybot do save location *,*{weight=100}
fuzzybot do save location *,(@no)
[*] (@outlook) [@nearplace] *{weight=5},fuzzybot do weather error *{weight=100}
(@sureyes),fuzzybot do onboarding ask user location
fuzzybot do weather convert temp{weight=100},[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
(@forecast){weight=5},fuzzybot do lang en wildcard{weight=1}
(@sureyes),[*] (weather|temp|temperature) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do make nice username{weight=1000},fuzzybot do lang en wildcard{weight=1}
fuzzybot do is a [*] @yes [*],fuzzybot do lang en wildcard{weight=1}
(what|really),fuzzybot do lang en wildcard{weight=1}
(@sureyes),[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
