source,target
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],fuzzybot do lang en wildcard{weight=1}
[*] what is up [*],fuzzybot do make nice username{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},(@sureyes)
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],[*] what is up [*]
i am starving,[i am watching|i watch|im watching|i'm in to|i'm into|im into|im in to] *
*,fuzzybot do is a [*] @no [*]{weight=1000}
*,(@poncho)
heck yes,fuzzybot do lang en wildcard{weight=1}
fuzzybot do save location continue{weight=200},fuzzybot do lang en wildcard{weight=1}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do onboarding complete *
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@forecast){weight=5},fuzzybot do lang en wildcard{weight=1}
hourly forecast{weight=100},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
[*] what is up [*],fuzzybot do weather error *{weight=100}
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},fuzzybot do save location *
fuzzybot do lang en wildcard{weight=1},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms) [*] [@nearplace] *{weight=5}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather in * with facebook buttons{weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@hello) [*],[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
[*] (@weatherword) [*] (@tomorrowterms) [@nearplace] *{weight=5},fuzzybot do weather error *{weight=100}
[*] (@weatherword) [*] (@tomorrowterms) [@nearplace] *{weight=5},[*] (@weatherword) [*] (@tomorrowterms) [@nearplace] *{weight=5}
[*] what is up [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do onboarding ask user location
(@weatherword) (@tomorrowterms) [@hereterms]{weight=5},fuzzybot do weather convert temp{weight=100}
(@no),fuzzybot do is a *{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] what is up [*]
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
*,[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
fuzzybot do set firsttime location{weight=200},[*] (@goodbye) [*]{weight=1}
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},fuzzybot do weather convert temp{weight=100}
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (good morning) [*],fuzzybot do lang en wildcard{weight=1}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] sorry [*]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},(@sureyes)
[*] (@weatherword) [*] (@tomorrowterms) [@nearplace] *{weight=5},fuzzybot do lang en wildcard{weight=1}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (@badwordsinsults) [*]
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},fuzzybot do weather error *{weight=100}
*,[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do is a *
[*] (@weatherword) [@nearplace] * (@tomorrowterms) [*]{weight=5},fuzzybot do lang en wildcard{weight=1}
(@forecast){weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do first message
(5day|5 day|5-day|five day) forecast{weight=100},* (@forecast){weight=5}
fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000},fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},(@updateword) [*] (location){weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},(@forecast){weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do save location continue{weight=200}
(5day|5 day|5-day|five day) forecast{weight=100},hourly forecast{weight=100}
[*] (@weatherword) [@nearplace] * (@tomorrowterms) [*]{weight=5},[*] (@weatherword) [@nearplace] * (@tomorrowterms) [*]{weight=5}
* (@weatherword){weight=5},fuzzybot do weather error *{weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather convert temp{weight=100}
(great|cool|awesome|ok|okay),[*] what is up [*]
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (@forecast) [@nearplace] *{weight=5}
(@hourlyforecast){weight=5},fuzzybot do weather error *{weight=100}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do pollen high
fuzzybot do ignore banned,-redirect are you sorry
fuzzybot do lang en wildcard{weight=1},nope
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},tell me a [funny] joke
fuzzybot do notification change and *,fuzzybot do is a [*] @cancel [*]{weight=1000}
(what are|when) [*] (@notificationsword){weight=10},(@sureyes)
fuzzybot do is a [*] @cancel [*],fuzzybot do lang en wildcard{weight=1}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@forecast) [@nearplace] *{weight=5}
[*] [current] location,fuzzybot do save location continue{weight=200}
fuzzybot do save location continue{weight=200},fuzzybot do first message
(@weatherword) (@tomorrowterms) [@hereterms]{weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
(@updateword) [*] (location){weight=100},fuzzybot do save location continue{weight=200}
(@sureyes),[*] what is up [*]
fuzzybot do save location continue{weight=200},(great|cool|awesome|ok|okay)
(great|cool|awesome|ok|okay),fuzzybot do is a *{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (purr|puurr|meow|roar|mew) [*]
(@forecast){weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
* (@weatherword){weight=5},* (@weatherword){weight=5}
(great|cool|awesome|ok|okay),fuzzybot do make nice username{weight=1000}
[*] (@hello) [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
hourly forecast{weight=100},fuzzybot do pollen high
(5day|5 day|5-day|five day) forecast{weight=100},[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10}
got anything else,(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat)
(5day|5 day|5-day|five day) forecast{weight=100},(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20}
[*] [i am] [doing|feeling] [super|very|really|quite|extremely|so|way] (good|great|awesome|well|fine|fantastic|super|wonderful|happy|glad|giddy|marvelous|magnificent|splendid|rad) [*],[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],(what|really)
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
* (@forecast){weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
(@updateword) [*] (location){weight=100},fuzzybot do is a *{weight=1000}
(@forecast){weight=5},fuzzybot do pollen high
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@whatrequest) [*] (@forecast){weight=5}
*,[*] (hm|hmm|hrm|hrmm|hmmm) [*]
[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
hourly forecast{weight=100},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5}
hourly forecast{weight=100},[*] (@whatrequest) [*] (@weatherword) [@todayterms]{weight=5}
fuzzybot do save location continue{weight=200},[*] (@hello) [*]
fuzzybot do save location continue{weight=200},fuzzybot do weather error *{weight=100}
fuzzybot do save location continue{weight=200},fuzzybot do weather in * with facebook buttons{weight=100}
got anything else,i do not want to cook
fuzzybot do save location continue{weight=200},(@sureyes)
fuzzybot do set firsttime location{weight=200},fuzzybot do save location continue{weight=200}
fuzzybot do pollen high,(great|cool|awesome|ok|okay)
hourly forecast{weight=100},(great|cool|awesome|ok|okay)
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@outlook) [@nearplace] *{weight=5}
[*] (@outlook) [@nearplace] *{weight=5},[*] (@outlook) [@nearplace] *{weight=5}
(great|cool|awesome|ok|okay),(@no)
fuzzybot do save location continue{weight=200},fuzzybot do is a *
fuzzybot do is a *{weight=1000},[*] (@badwordsinsults) [*]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},* (@weatherword){weight=5}
fuzzybot do is a *,fuzzybot do notification change and *
(great|cool|awesome|ok|okay),(what|really)
(great|cool|awesome|ok|okay),[*] (@hello) [*]
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do onboarding complete *
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},[*] (purr|puurr|meow|roar|mew) [*]
fuzzybot do notification change and *,fuzzybot do pollen high
fuzzybot do notification change and *,fuzzybot do is a [*] @cancel [*]
(5day|5 day|5-day|five day) forecast{weight=100},[*] [i] (@bringwords) [*] [a|an|the] [*] (jacket|coat|gloves|sweater|mittens|winter boots|winter mask|scarf|scarves) [*]
(@outlook){weight=5},(@outlook){weight=5}
(what are|when) [*] (@notificationsword){weight=10},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},(great|cool|awesome|ok|okay)
*,[*] (i|we|they) (dislike|hate|despise) (you|u) [*]
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do hahaha
(@sureyes),yes
[*] (@badwordsmiddleschool) [*],[*] (@badwordsinsults) [*]
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},(@no)
(5day|5 day|5-day|five day) forecast{weight=100},(great|cool|awesome|ok|okay)
[*] (@outlook) [@nearplace] *{weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms) [*] [@nearplace] *{weight=5}
[*] (horoscope|astrology|astrological) [*],[*] taurus [*]
(@weatherword) (@tomorrowterms) [@hereterms]{weight=5},fuzzybot do weather error *{weight=100}
*,fuzzybot do save location continue{weight=200}
*,yeah i am sorry
*,[*] (good morning) [*]
*,fuzzybot do pollen high
[*] (@badwordsinsults) [*],@sureyes{weight=2}
fuzzybot do is a *{weight=1000},@sureyes{weight=2}
more info,(great|cool|awesome|ok|okay)
*,fuzzybot do help{weight=1000}
more info,[*] (@goodbye) [*]{weight=1}
[*] (@helpword) [*]{weight=200},*{weight=1}
*,fuzzybot do wildcard *{weight=1}
i am starving,fuzzybot do make nice username{weight=1000}
hourly forecast{weight=100},[*] (purr|puurr|meow|roar|mew) [*]
fuzzybot do is a *{weight=1000},fuzzybot do is a [*] @naughty [*]{weight=1000}
fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000},fuzzybot do weather is [*] @rainweatherterms [*]{weight=1000}
fuzzybot do is a *{weight=1000},fuzzybot do is a [*] @cancel [*]{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20}
[*] i am bored [*],fuzzybot do lang en wildcard{weight=1}
hourly forecast{weight=100},[*] (@whatrequest) [*] (@forecast) [@nearplace] *{weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@badwordsinsults) [*]
fuzzybot do pollen high,fuzzybot do pollen high
fuzzybot do save location continue{weight=200},fuzzybot do weather convert temp{weight=100}
fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000},fuzzybot do weather error *{weight=100}
fuzzybot do is a *{weight=1000},fuzzybot do onboarding complete *
fuzzybot do lang en wildcard{weight=1},[*] (are you|are you a|are you an) (@dumbwords) [*]
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},fuzzybot do weather convert temp{weight=100}
*,(no|not anymore|yum yum|hush i am ordering|not hungry anymore|this turkey's done lemme eat)
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do pollen high
fuzzybot do is a *,fuzzybot do is a [*] @cancel [*]
(@hourlyforecast){weight=5},fuzzybot do lang en wildcard{weight=1}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do first message
*,(@allweatherterms) [*] [@hereterms] [*]{weight=10}
fuzzybot do is a [*] @cancel [*]{weight=1000},fuzzybot do make nice username{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do make nice username{weight=1000}
[*] (hm|hmm|hrm|hrmm|hmmm) [*],fuzzybot do make nice username{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5},[*] what is up [*]
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do is a [*] @cancel [*]{weight=1000}
[*] (purr|puurr|meow|roar|mew) [*],fuzzybot do is a *{weight=1000}
[*] what is your name [*],fuzzybot do make nice username{weight=1000}
(what are|when) [*] (@notificationsword){weight=10},(great|cool|awesome|ok|okay)
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
[*] (@weatherword) [@nearplace] * (@tomorrowterms) [*]{weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do is a *{weight=1000},fuzzybot do weather convert temp{weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},(@sureyes)
(@allweatherterms) [*] [@nearplace] *{weight=20},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
(pollen|sneeze|allergy|allergies),fuzzybot do lang en wildcard{weight=1}
[*] (@hello) [*],[*] (are you|are you a|are you an) (@dumbwords) [*]
hourly forecast{weight=100},fuzzybot do weather is [*] @clearweatherterms [*]{weight=1000}
[*] (are you|are you a|are you an) (@dumbwords) [*],[*] (are you|are you a|are you an) (@dumbwords) [*]
[*] (purr|puurr|meow|roar|mew) [*],[*] (are you|are you a|are you an) (@dumbwords) [*]
[i am watching|i watch|im watching|i'm in to|i'm into|im into|im in to] *,fuzzybot do make nice username{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do hahaha
*,fuzzybot do is a [*] @cancel [*]{weight=1000}
fuzzybot do notification change and *,fuzzybot do weather convert temp{weight=100}
(@weatherword) (@tomorrowterms) [@hereterms]{weight=5},(@allweatherterms) [*] [@hereterms] [*]{weight=10}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do pollen high
*,[*] (are you|are you a|are you an) (@dumbwords) [*]
@sureyes,fuzzybot do lang en wildcard{weight=1}
fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000},fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},(@no)
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do first message
[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo],fuzzybot do weather is [*] @cloudweatherterms [*]{weight=1000}
[*] (@weatherword) [*] (@tomorrowterms) [@nearplace] *{weight=5},[*] (@whatrequest) [*] (@weatherword) [@nearplace] *{weight=5}
[*] (@weatherword) [*] (@tomorrowterms) [@nearplace] *{weight=5},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
hourly forecast{weight=100},(will|is) [*] (@allweatherterms) [*] (@laterortomorrowterms) [*]{weight=20}
[*] sorry [*],fuzzybot do weather error *{weight=100}
hourly forecast{weight=100},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
fuzzybot do is a [*] @cancel [*]{weight=1000},fuzzybot do weather error *{weight=100}
fuzzybot do save location continue{weight=200},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do save location continue{weight=200},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
hourly forecast{weight=100},[*] (@hello) [*]
hourly forecast{weight=100},fuzzybot do is a [*] (turn off|off|stop|delete|remove|rm|end|del|unsub|unsubscribe) [*]
(what are|when) [*] (@notificationsword){weight=10},hourly forecast{weight=100}
fuzzybot do is a [*] @no [*]{weight=1000},fuzzybot do is a [*] @no [*]{weight=1000}
fuzzybot do first message,fuzzybot do is a [*] @no [*]{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},(what are|when) [*] (@notificationsword){weight=10}
*,(what are|when) [*] (@notificationsword){weight=10}
(great|cool|awesome|ok|okay),fuzzybot do hahaha
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@hello) [*]
*,fuzzybot do is a [*] @yes [*]{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [for|like] (@todayterms){weight=6},fuzzybot do lang en wildcard{weight=1}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do lang en wildcard{weight=1}
[*] (@whatrequest) [*] (@weatherword) [for|like] (@todayterms){weight=6},[*] (@whatrequest) [*] (@weatherword) [for|like] (@todayterms){weight=6}
[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
(@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do help{weight=1000}
fuzzybot do save location *,fuzzybot do help{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6}
[*] (@whatrequest) [*] (@weatherword) [for|like] (@todayterms){weight=6},fuzzybot do weather error *{weight=100}
are you [a] fox,fuzzybot do is a *{weight=1000}
are you [a] fox,fuzzybot do lang en wildcard{weight=1}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do help{weight=1000}
(@updateword) [*] (location){weight=100},(what are|when) [*] (@notificationsword){weight=10}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},(great|cool|awesome|ok|okay)
are you [a] fox,fuzzybot do onboarding complete *
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do make nice username{weight=1000}
fuzzybot do weather error *{weight=100},fuzzybot do weather buttons in *{weight=101}
hourly forecast{weight=100},fuzzybot do weather buttons in *{weight=101}
fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*],fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (@hello) [*]
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do weather buttons in *{weight=101}
*,(5day|5 day|5-day|five day) forecast{weight=100}
fuzzybot do lang en wildcard{weight=1},fuzzybot do weather buttons in *{weight=101}
fuzzybot do weather buttons in *{weight=101},fuzzybot do weather buttons in *{weight=101}
[*] (@whatrequest) [*] (@weatherword) [for|like] (@todayterms){weight=6},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100},fuzzybot do lang en wildcard{weight=1}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do is a *{weight=1000}
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do settings buttons temperature{weight=1000}
fuzzybot do help{weight=1000},fuzzybot do is a *{weight=1000}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do is a [*] @yes [*]{weight=1000}
fuzzybot do help{weight=1000},fuzzybot do lang en wildcard{weight=1}
(@updateword) [*] (location){weight=100},fuzzybot do help{weight=1000}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do save location continue{weight=200}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do is a [*] @cancel [*]
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do notification change and *
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do lang en wildcard{weight=1}
(what are|when) [*] (@notificationsword){weight=10},(@updateword) [*] (@temperatureword) [to] @celsiusword{weight=100}
[*] (turn off|disable|stop|no more|pause) [*] (@notificationsword) [*]{weight=101},fuzzybot do lang en wildcard{weight=1}
[*] (@hourlyforecast) [@nearplace] *{weight=5},[*] (@hourlyforecast) [@nearplace] *{weight=5}
fuzzybot do first message,fuzzybot do is a [*] @yes [*]{weight=1000}
[*] (turn off|disable|stop|no more|pause) [*] (@notificationsword) [*]{weight=101},fuzzybot do help{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do weather convert temp{weight=100}
fuzzybot do is a [*] @cancel [*],fuzzybot do is a *{weight=1000}
fuzzybot do first message,fuzzybot do is a [*] @sure [*]{weight=1000}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do is a [*] @yes [*]{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10}
*,hourly forecast{weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},(@outlook){weight=5}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do help{weight=1000}
fuzzybot do notification change and *,fuzzybot do is a *{weight=1000}
[*] (enable|turn on|start) [*] (@notificationsword) [*]{weight=101},fuzzybot do lang en wildcard{weight=1}
fuzzybot do save location error{weight=100},fuzzybot do is a *{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (@whatrequest) [*] (@weatherword) [*] (@tomorrowterms){weight=5}
* (@forecast){weight=5},* (@forecast){weight=5}
fuzzybot do notification change and *,fuzzybot do help{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do notification change and *
(what are|when) [*] (@notificationsword){weight=10},fuzzybot do save location continue{weight=200}
*,[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6}
fuzzybot do is a *,fuzzybot do help{weight=1000}
hourly forecast{weight=100},fuzzybot do help{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do weather error *{weight=100}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do weather convert temp{weight=100}
[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5},fuzzybot do help{weight=1000}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do settings buttons temperature{weight=1000}
fuzzybot do save location continue{weight=200},fuzzybot do help{weight=1000}
fuzzybot do help{weight=1000},fuzzybot do make nice username{weight=1000}
fuzzybot do settings buttons temperature{weight=1000},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
* (@forecast){weight=5},fuzzybot do help{weight=1000}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do is a *{weight=1000}
set @notificationsword,more info
fuzzybot do first message,@no{weight=2}
*,[*] what is your name [*]
set @notificationsword,@sureyes{weight=2}
fuzzybot do is a *{weight=1000},@no{weight=2}
fuzzybot do location was saved,@no{weight=2}
fuzzybot do help{weight=1000},(what|really)
fuzzybot do help{weight=1000},(@sureyes)
[*] (@goodbye) [*]{weight=1},@sureyes{weight=2}
*,fuzzybot do nlp weather at day #{weight=1000}
*,[*] (settings|setting|preferences|prefs) [*]
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do help{weight=1000}
fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*],fuzzybot do help{weight=1000}
fuzzybot do help{weight=1000},fuzzybot do onboarding complete *
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do notification change and *
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},fuzzybot do help{weight=1000}
[*] (is it|is) [*] (@allweatherterms) [*] [@hereterms] [*]{weight=10},hourly forecast{weight=100}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do help{weight=1000}
fuzzybot do help{weight=1000},[*] (@badwordsinsults) [*]
fuzzybot do set firsttime location{weight=200},fuzzybot do is a [*] @cancel [*]{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [for|like] (@todayterms){weight=6},hourly forecast{weight=100}
(5day|5 day|5-day|five day) forecast{weight=100},fuzzybot do is a [*] @yes [*]{weight=1000}
[*] (@goodbye) [*]{weight=1},fuzzybot do is a *{weight=1000}
hourly forecast{weight=100},[*] (is it|is) [*] (@allweatherterms) [*] (@nearplace) *{weight=20}
fuzzybot do help{weight=1000},are you [a] fox
fuzzybot do help{weight=1000},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
fuzzybot do help{weight=1000},fuzzybot do weather error *{weight=100}
fuzzybot do settings buttons temperature{weight=1000},[*] (@thanks) [@poncho|dude|cat|dog|child|man|my love|lover|homie|bro|player|playa|artist|weirdo]
(5day|5 day|5-day|five day) forecast{weight=100},[*] (@goodbye) [*]{weight=1}
hourly forecast{weight=100},fuzzybot do is a [*] (turn on|on|resume|start|continue|redo|begin|go) [*]
fuzzybot do help{weight=1000},fuzzybot do help{weight=1000}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},fuzzybot do save location continue{weight=200}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (@weatherword) [@todayterms] [@nearplace] *{weight=5}
[*] (@whatrequest) [*] (@weatherword) [like|currently|right now]{weight=6},[*] (@goodbye) [*]{weight=1}
fuzzybot do save location continue{weight=200},fuzzybot do weather buttons in *{weight=101}
hourly forecast{weight=100},fuzzybot do save location continue{weight=200}
fuzzybot do settings buttons temperature{weight=1000},fuzzybot do is a [*] @cancel [*]{weight=1000}
fuzzybot do help{weight=1000},[*] what is up [*]
